packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
56.65,4621.75,81.59,1.65,0.08,1.74,0.21,0.04,7.21,1.0,6.25,0.1,1.65,1.57,0.0,1.58,0.0758
63.01,4724.86,74.99,1.62,0.04,1.76,0.24,0.0,7.37,1.05,6.39,0.0,1.58,1.58,0.0,1.58,0.0302
79.97,6086.86,76.11,1.68,0.12,1.8,0.32,0.0,7.67,1.19,6.73,0.0,1.58,1.56,0.0,1.6,0.0737
83.67,6367.98,76.11,1.61,0.03,1.93,0.67,0.0,7.79,1.04,6.79,0.0,1.58,1.58,0.0,1.58,0.079
84.43,7183.33,85.08,1.72,0.16,2.73,2.2,0.03,7.79,1.11,6.78,0.07,1.65,1.56,0.0,1.57,0.0571
69.85,5317.68,76.13,1.58,0.0,1.58,0.0,0.0,7.53,1.0,6.54,0.0,1.58,1.58,0.0,1.58,0.0294
83.17,6658.25,80.06,1.61,0.03,1.69,0.14,0.0,7.77,1.0,6.78,0.0,1.61,1.58,0.0,1.58,0.0242
46.61,3737.18,80.18,1.66,0.1,1.68,0.12,0.1,6.94,1.0,5.93,0.24,1.66,1.57,0.0,1.57,0.0409
50.39,3838.89,76.18,1.58,0.0,1.55,0.0,0.0,7.06,1.0,6.07,0.0,1.58,1.58,0.0,1.58,0.071
68.04,4838.72,71.11,1.76,0.25,1.91,0.63,0.0,7.28,1.48,6.49,0.0,1.58,1.52,0.0,1.66,0.104
75.08,5926.32,78.94,1.71,0.16,2.04,0.79,0.0,7.57,1.2,6.61,0.0,1.61,1.55,0.0,1.6,0.0373
72.33,5506.11,76.13,1.58,0.0,1.5,0.0,0.0,7.58,1.0,6.58,0.0,1.58,1.58,0.0,1.58,0.0137
77.29,5895.31,76.27,1.58,0.0,1.58,0.0,0.0,7.68,1.0,6.67,0.0,1.58,1.58,0.0,1.58,0.0239
63.38,5187.13,81.84,1.62,0.04,1.68,0.13,0.0,7.39,1.0,6.38,0.0,1.62,1.58,0.0,1.58,0.0676
76.84,5861.04,76.28,1.58,0.0,1.58,0.0,0.0,7.67,1.0,6.66,0.0,1.58,1.58,0.0,1.58,0.0363
76.09,6142.83,80.73,1.61,0.03,1.92,0.72,0.0,7.64,1.0,6.64,0.0,1.61,1.58,0.0,1.58,0.0307
48.29,3660.89,75.81,1.58,0.0,1.58,0.0,0.0,6.99,1.0,5.98,0.0,1.58,1.58,0.0,1.58,0.0543
66.22,5425.61,81.94,1.62,0.04,1.67,0.11,0.0,7.45,1.0,6.43,0.0,1.62,1.58,0.0,1.58,0.0766
69.06,5272.92,76.35,1.58,0.0,1.58,0.0,0.0,7.52,1.0,6.49,0.0,1.58,1.58,0.0,1.58,0.0288
77.11,6147.27,79.72,1.61,0.03,1.71,0.21,0.0,7.66,1.0,6.67,0.0,1.61,1.58,0.0,1.58,0.0468
75.65,6091.64,80.53,1.64,0.06,2.06,1.06,0.03,7.63,1.0,6.66,0.08,1.64,1.57,0.0,1.58,0.04
70.98,5424.69,76.42,1.64,0.06,1.98,0.45,0.06,7.53,1.0,6.56,0.15,1.64,1.58,0.01,1.57,0.0413
75.08,5925.18,78.92,1.61,0.03,1.8,0.31,0.0,7.62,1.04,6.64,0.0,1.61,1.58,0.0,1.58,0.0797
81.74,6609.55,80.86,1.64,0.06,1.83,0.43,0.0,7.77,1.04,6.71,0.0,1.61,1.57,0.0,1.58,0.0666
73.31,5553.17,75.75,1.58,0.0,1.57,0.0,0.0,7.6,1.0,6.58,0.0,1.58,1.58,0.0,1.58,0.0179
73.23,6441.45,87.96,1.78,0.23,2.29,1.46,0.0,7.5,1.25,6.58,0.0,1.65,1.55,0.0,1.6,0.0074
73.45,5949.05,80.99,1.67,0.1,2.2,1.57,0.07,7.56,1.0,6.64,0.16,1.67,1.57,0.0,1.57,0.0573
71.0,5372.0,75.67,1.61,0.03,1.84,0.59,0.03,7.54,1.0,6.58,0.08,1.61,1.58,0.0,1.58,0.0482
85.17,6607.62,77.59,1.7,0.14,1.94,0.55,0.0,7.76,1.18,6.82,0.0,1.61,1.56,0.0,1.59,0.071
97.33,7585.76,77.94,1.68,0.12,1.96,0.49,0.03,7.98,1.1,7.03,0.06,1.63,1.56,0.0,1.58,0.0502
59.6,4554.8,76.43,1.62,0.04,1.63,0.06,0.04,7.3,1.0,6.29,0.1,1.62,1.58,0.0,1.58,0.0441
50.16,3778.54,75.33,1.67,0.11,1.81,0.37,0.0,7.0,1.17,6.07,0.0,1.58,1.56,0.0,1.58,0.0438
35.71,2725.89,76.33,1.77,0.25,1.64,0.07,0.0,5.55,1.36,4.46,0.0,1.58,1.52,0.0,1.58,0.8202
76.54,5948.33,77.71,1.58,0.0,1.58,0.0,0.0,4.64,1.0,3.32,0.0,1.58,1.58,0.0,1.58,0.1265
81.07,6171.34,76.12,1.61,0.03,1.61,0.03,0.03,7.74,1.0,6.75,0.08,1.61,1.58,0.0,1.58,0.0196
80.52,6469.07,80.34,1.61,0.03,2.0,0.92,0.0,7.73,1.0,6.73,0.0,1.61,1.58,0.0,1.58,0.0293
81.99,6567.09,80.1,1.64,0.06,2.25,1.25,0.03,7.75,1.0,6.75,0.08,1.64,1.58,0.0,1.58,0.0348
84.34,6219.25,73.74,1.7,0.15,1.8,0.95,0.0,7.71,1.26,6.79,0.0,1.58,1.55,0.0,1.61,0.0251
82.83,6621.28,79.94,1.61,0.03,1.84,1.0,0.0,7.76,1.0,6.78,0.0,1.61,1.58,0.0,1.58,0.0173
43.35,3285.3,75.79,1.58,0.0,1.58,0.0,0.0,6.85,1.0,5.83,0.0,1.58,1.58,0.0,1.58,0.0884
