packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
61.87,61796.19,998.86,3.05,1.37,2.8,2.75,3.76,6.4,5.47,2.32,2.32,2.25,2.07,0.13,3.01,0.1678
61.05,61674.91,1010.27,2.95,1.39,3.03,3.01,3.66,6.21,5.89,2.32,2.32,1.89,2.09,0.06,3.32,0.1083
65.43,64261.5,982.14,2.93,1.46,3.26,3.09,3.62,6.4,5.42,3.17,3.17,1.94,1.94,0.12,2.96,0.026
59.73,64497.73,1079.84,3.0,1.13,3.27,3.21,3.62,5.98,4.7,2.58,2.58,2.02,2.15,0.23,2.7,0.0565
50.73,53831.54,1061.09,2.71,1.2,2.95,2.33,3.75,5.94,5.56,1.0,1.0,1.68,1.92,0.1,2.97,0.074
60.55,59196.08,977.64,3.07,1.31,3.02,2.42,3.57,6.26,4.84,1.92,1.92,2.2,2.1,0.25,2.61,0.0606
65.09,64010.65,983.44,2.94,1.23,2.91,2.51,3.99,6.33,6.05,3.17,3.17,2.15,2.15,0.08,3.81,0.0492
58.21,55927.6,960.85,3.05,1.58,2.86,2.34,3.66,6.3,5.47,2.0,2.0,2.15,2.02,0.17,2.81,0.0412
70.2,79697.18,1135.26,2.68,1.1,2.61,1.95,3.59,6.13,5.74,0.0,0.0,1.59,1.95,0.06,3.11,0.0215
65.82,60506.69,919.23,3.05,1.55,2.69,2.41,3.57,6.64,5.81,2.75,2.75,2.35,2.02,0.11,3.4,0.0202
69.37,70275.81,1013.03,2.82,1.36,3.17,2.67,3.81,6.39,6.12,2.52,2.52,1.96,1.98,0.08,3.57,0.0731
74.87,73638.22,983.61,2.94,1.41,3.07,3.06,3.65,6.52,5.48,1.58,1.58,2.01,1.98,0.12,2.85,0.0756
64.96,62947.91,968.96,2.87,1.33,3.11,2.66,3.76,6.31,5.92,3.17,3.17,2.07,2.02,0.1,3.52,0.0298
68.44,54642.1,798.45,3.06,1.81,3.03,2.63,3.57,6.88,5.6,2.81,2.81,2.38,1.87,0.2,3.04,0.0442
69.41,70677.24,1018.25,3.01,1.17,2.54,2.28,3.44,6.48,4.46,2.13,2.13,2.24,2.06,0.33,2.61,0.0628
58.95,52189.6,885.38,2.92,1.49,3.11,2.62,3.75,6.45,6.18,2.95,2.95,2.44,2.02,0.08,3.72,0.0658
52.94,54046.35,1020.83,2.98,1.27,2.93,3.24,3.7,5.91,5.4,2.58,2.58,1.94,2.15,0.14,2.95,0.146
57.76,56587.17,979.66,2.7,1.29,2.85,2.82,3.74,6.17,6.07,2.75,2.75,1.95,1.93,0.04,3.71,0.0434
74.85,69304.06,925.92,3.07,1.55,3.27,2.36,3.58,6.73,5.55,2.32,2.32,2.39,2.0,0.21,3.11,0.0733
67.84,64759.78,954.59,2.87,1.33,3.15,3.25,3.65,6.5,5.5,2.95,2.95,2.18,1.94,0.2,3.19,0.045
46.45,50491.46,1086.96,2.79,0.97,2.75,2.05,4.06,5.55,5.51,2.32,2.32,1.8,2.18,0.04,3.39,0.1448
